"collection_index","tag_version","collector_version","loader_version","tag_id","account_id","event_type","sub_event_type","event_id","collector_hostname","event_time","collector_time","load_time","utc_year","utc_month","utc_day","utc_hour","utc_day_part","user_year","user_month","user_day","user_hour","user_day_part","user_timezone","ip","req_method","post_code","continent_code","country_code","region_code","browser_family","browser_version","ua_raw","os_family","os_version","device_family","device_brand","device_model","is_mobile","is_tablet","is_pc","is_touch_capable","isp_name","org_name","domain","is_valid","not_valid_reason","network_visit_id","network_visitor_id","network_visit_views","network_views","network_visits","network_birth","external_uid","external_uid_source","site_visit_id","site_visitor_id","site_visit_views","site_views","site_visits","site_birth","page_id","page_url","doc_title","ref_url","is_iframe","page_scheme","page_hostname","page_path","page_query","page_fragment","ref_scheme","ref_hostname","ref_path","ref_query","ref_fragment","market_medium","market_source","market_terms","market_content","market_campaign","market_click_id","market_network_id","creative_id","placement_id","parent_placement_id","advertiser_id","campaign_id","line_item_id","environment_id","ad_format_id","ad_platform_id","campaign_birth","campaign_views","custom_00","custom_01","custom_02","custom_03","custom_04","custom_05","custom_06","custom_07","custom_08","custom_09","device_type","load_index","system_id","platform_id","instance_id","account_holder_id","survey_id","answered_at","response_id","question_id","question_type","answer_type","answer_value","participation_at","participation_id","participation_status_id","location_id","location_at","location_source","longitude","latitude","transaction_at","transaction_type_id","transaction_subtype_id","transaction_value","currency_code","transaction_id","data_index"
"2,017,071,506","1.6.9","1.6.9","1.2.2",nivea,nivea,campaign,view,bf5d9a6d-287d-4baf-8859-431f1c3f18fd,ip-172-31-36-29,2017-07-15 06:16:15,2017-07-15 06:16:15,2017-07-15 06:21:06,"2,017",7,15,6,allday,"2,017",7,15,18,allday,Pacific/Auckland,"60.234.33.174",GET,"8011",OC,NZ,CAN,Chrome Mobile,"59.0.3071","Mozilla/5.0 (Linux; Android 5.1.1; SM-J120ZN Build/LMY47X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.125 Mobile Safari/537.36",Android,"5.1.1",Samsung SM-J120ZN,Samsung,SM-J120ZN,true,false,false,true,,,,true,,,d028a80f-787f-4685-93ba-4f29f4fb1075,,,,2017-07-15 06:16:15,,,,,,,,,"7e8b508c-a876-4041-995f-0afe447e75ad",,,,false,,,,,,,,,,,,,,,,,,nivea_outbrain3,,,,argos,phase1,,,,2017-07-15 06:16:15,1,,,,,,,,,,,mobile,"201707150600_20",,,,,,,,,,,,,,,,,,,,,,,,,,"2,017,071,500"
"2,017,071,506","1.6.9","1.6.9","1.2.2",nivea,nivea,campaign,view,dc177f4c-a216-4b2a-9652-8c044337c89a,ip-172-31-14-226,2017-07-15 06:11:01,2017-07-15 06:11:01,2017-07-15 06:21:11,"2,017",7,15,6,allday,"2,017",7,15,18,allday,Pacific/Auckland,"14.1.54.211",GET,"1071",OC,NZ,AUK,Facebook,"132","Mozilla/5.0 (Linux; Android 7.0; SM-G950F Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/59.0.3071.125 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/132.0.0.20.85;]",Android,"7",Samsung SM-G950F,Samsung,SM-G950F,true,false,false,true,,,,true,,,e0772276-3cfa-428c-ba4e-20bc383c328d,,,,2017-07-15 06:11:01,,,,,,,,,d8de2cad-84ef-4ee6-858d-8c0c9e76bf7c,,,,false,,,,,,,,,,,,,,,,,,nivea_outbrain3,,,,argos,phase1,,,,2017-07-15 06:11:01,1,,,,,,,,,,,mobile,"201707150600_20",,,,,,,,,,,,,,,,,,,,,,,,,,"2,017,071,500"
"2,017,071,507","1.6.9","1.6.9","1.2.2",nivea,nivea,campaign,view,"2dd1f4df-d8bf-4f65-911e-ee060078c72c",ip-172-31-14-226,2017-07-15 07:10:22,2017-07-15 07:10:22,2017-07-15 07:21:16,"2,017",7,15,7,allday,"2,017",7,15,19,allday,Pacific/Auckland,"122.60.16.181",GET,"1071",OC,NZ,AUK,Chrome,"59.0.3071","Mozilla/5.0 (Linux; Android 7.0; SM-T580 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.125 Safari/537.36",Android,"7",Samsung SM-T580,Samsung,SM-T580,false,true,false,true,,,,true,,,f3488b7b-eb59-4fab-9424-8f630487f3f3,,,,2017-07-10 09:04:23,,,,,,,,,"97cce6e9-820a-4ac8-892f-c4276e25214f",,,,false,,,,,,,,,,,,,,,,,,nivea_outbrain3,,,,argos,phase1,,,,2017-07-10 09:04:23,2,,,,,,,,,,,tablet,"201707150700_20",,,,,,,,,,,,,,,,,,,,,,,,,,"2,017,071,500"
"2,017,071,507","1.6.9","1.6.9","1.2.2",nivea,nivea,campaign,view,"4f96a295-e7f6-4b7b-8d2f-02e17bc8b3fc",ip-172-31-36-29,2017-07-15 07:02:04,2017-07-15 07:02:04,2017-07-15 07:21:18,"2,017",7,15,7,allday,"2,017",7,15,19,allday,Pacific/Auckland,"101.98.71.1",GET,"7201",OC,NZ,MBH,Mobile Safari UI/WKWebView,"10.3.2","Mozilla/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89; StuffApp/v1003.16.1.1 (iPad; iOS 10.3.2; Scale/2.00)",iOS,"10.3.2",iPad,Apple,iPad,false,true,false,true,,,,false,bot: stuff,,cd90ad3f-1c3f-4e25-9f9f-f30ca814e773,,,,2017-07-15 07:02:04,,,,,,,,,"7175bcaf-a8a0-40d5-a699-b10cd18b1543",,,,false,,,,,,,,,,,,,,,,,,nivea_outbrain3,,,,argos,phase1,,,,2017-07-15 07:02:04,1,,,,,,,,,,,tablet,"201707150700_20",,,,,,,,,,,,,,,,,,,,,,,,,,"2,017,071,500"
"2,017,071,523","1.6.9","1.6.9","1.2.2",nivea,nivea,campaign,view,"3d2f8ca7-741b-4855-aa34-3d25b53719bb",ip-172-31-36-29,2017-07-15 23:11:21,2017-07-15 23:11:21,2017-07-15 23:21:29,"2,017",7,15,23,allday,"2,017",7,16,11,allday,Pacific/Auckland,"115.188.6.214",GET,"4120",OC,NZ,HKB,Chrome,"59.0.3071","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",Mac OS X,"10.12.5",Other,,,false,false,true,false,,,,true,,,fe134967-5d7f-439d-8e92-2dd09bb9bffa,,,,2017-07-15 23:11:21,,,,,,,,,a5782dd7-ecde-4067-9583-743d367dea57,,,,false,,,,,,,,,,,,,,,,,,nivea_outbrain1,,,,argos,phase1,,,,2017-07-15 23:11:21,1,,,,,,,,,,,pc,"201707152300_20",,,,,,,,,,,,,,,,,,,,,,,,,,"2,017,071,500"
"2,017,071,523","1.6.9","1.6.9","1.2.2",nivea,nivea,campaign,view,"884d8b12-f737-461f-a1ee-67388fe9ec26",ip-172-31-36-29,2017-07-15 23:41:34,2017-07-15 23:41:34,2017-07-16 00:01:38,"2,017",7,15,23,allday,"2,017",7,16,11,allday,Pacific/Auckland,"122.56.204.12",GET,"1051",OC,NZ,AUK,Samsung Internet,"5.2","Mozilla/5.0 (Linux; Android 7.0; SAMSUNG SM-T580 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/5.2 Chrome/51.0.2704.106 Safari/537.36",Android,"7",Samsung SM-T580,Samsung,SM-T580,false,true,false,true,,,,true,,,"662c12ab-43ab-4b47-b470-93e24f3bde87",,,,2017-07-15 23:41:34,,,,,,,,,"5777e38c-8ded-484a-af6d-3b527ea8a15a",,,,false,,,,,,,,,,,,,,,,,,nivea_outbrain1,,,,argos,phase1,,,,2017-07-15 23:41:34,1,,,,,,,,,,,tablet,"201707152340_20",,,,,,,,,,,,,,,,,,,,,,,,,,"2,017,071,500"
"2,017,071,505","1.6.9","1.6.9","1.2.2",nivea,nivea,campaign,view,"3cd1d24c-a688-41cf-9bd1-071734d746d4",ip-172-31-36-29,2017-07-15 05:36:20,2017-07-15 05:36:20,2017-07-15 05:41:09,"2,017",7,15,5,allday,"2,017",7,15,17,allday,Pacific/Auckland,"202.180.96.50",GET,"1041",OC,NZ,AUK,Other,,"Mozilla/5.0 (PlayStation 4 4.71) AppleWebKit/601.2 (KHTML, like Gecko)",Other,,PlayStation 4,Sony,PlayStation 4,false,false,false,false,,,,true,,,"0b34b3be-0355-4b56-8d01-a695d8e89dea",,,,2017-07-15 05:36:20,,,,,,,,,"415337b9-bd54-45c9-853b-27a84b2bc296",,,,false,,,,,,,,,,,,,,,,,,nivea_outbrain3,,,,argos,phase1,,,,2017-07-15 05:36:20,1,,,,,,,,,,,pc,"201707150520_20",,,,,,,,,,,,,,,,,,,,,,,,,,"2,017,071,500"
"2,017,071,506","1.6.9","1.6.9","1.2.2",nivea,nivea,campaign,view,"1f42a9ea-c775-488e-8efd-2458f82dd477",ip-172-31-14-226,2017-07-15 06:39:00,2017-07-15 06:39:00,2017-07-15 06:41:03,"2,017",7,15,6,allday,"2,017",7,15,18,allday,Pacific/Auckland,"125.237.94.109",GET,"0612",OC,NZ,AUK,Chrome Mobile,"58.0.3029","Mozilla/5.0 (Linux; Android 4.4.4; E2104 Build/24.0.A.5.14) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",Android,"4.4.4",E2104,SonyEricsson,E2104,true,false,false,true,,,,true,,,"52577712-27dc-4809-89f9-e3d6afc02322",,,,2017-07-15 06:39:00,,,,,,,,,"27f5556a-690e-4ce1-b48c-10f355414ba2",,,,false,,,,,,,,,,,,,,,,,,nivea_outbrain3,,,,argos,phase1,,,,2017-07-15 06:39:00,1,,,,,,,,,,,mobile,"201707150620_20",,,,,,,,,,,,,,,,,,,,,,,,,,"2,017,071,500"
"2,017,071,523","1.6.9","1.6.9","1.2.2",nivea,nivea,campaign,view,ccceab5b-7441-45f3-85e3-62dd13b8fff9,ip-172-31-14-226,2017-07-15 23:37:26,2017-07-15 23:37:26,2017-07-15 23:41:10,"2,017",7,15,23,allday,"2,017",7,16,11,allday,Pacific/Auckland,"103.40.81.159",GET,"6021",OC,NZ,WGN,IE,"10",Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0),Windows 7,,Other,,,false,false,true,false,,,,true,,,bb4a9fde-142d-4f2c-a0e4-244843ca1f3f,,,,2017-07-15 23:37:26,,,,,,,,,"1fc00c9b-5c0e-43fe-a47f-87f3869707cd",,,,false,,,,,,,,,,,,,,,,,,nivea_outbrain1,,,,argos,phase1,,,,2017-07-15 23:37:26,1,,,,,,,,,,,pc,"201707152320_20",,,,,,,,,,,,,,,,,,,,,,,,,,"2,017,071,500"
"2,017,071,505","1.6.9","1.6.9","1.2.2",nivea,nivea,campaign,view,c865b5aa-b47e-4d31-b4f7-1164083dab53,ip-172-31-36-29,2017-07-15 05:57:06,2017-07-15 05:57:06,2017-07-15 06:01:06,"2,017",7,15,5,allday,"2,017",7,15,17,allday,Pacific/Auckland,"122.62.69.182",GET,"5022",OC,NZ,WGN,Mobile Safari UI/WKWebView,"10.3.2","Mozilla/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89; StuffApp/v1003.16.0.15 (iPad; iOS 10.3.2; Scale/2.00)",iOS,"10.3.2",iPad,Apple,iPad,false,true,false,true,,,,false,bot: stuff,,d53f345b-ac5e-43a3-806b-b400f6c7a734,,,,2017-07-15 05:57:06,,,,,,,,,"51df870f-4a4a-472d-9528-e8e4cdf40e8e",,,,false,,,,,,,,,,,,,,,,,,nivea_outbrain3,,,,argos,phase1,,,,2017-07-15 05:57:06,1,,,,,,,,,,,tablet,"201707150540_20",,,,,,,,,,,,,,,,,,,,,,,,,,"2,017,071,500"
